Samples,Factors,L-alanine,L-arginine,L-asparagine,L-aspartate,L-cysteine,L-glutamate,L-glutamine,glycine,L-histidine,L-leucine/L-isoleucine,L-lysine,L-methionine,L-phenylalanine,L-proline,L-serine,L-threonine,L-tryptophan,L-tyrosine,L-valine,L-cystine,AMP,dAMP,Adenosine,Adenine,GMP,Cytosine,dTMP,Uracil,IMP,Hypoxanthine,Allantoate,"3',5'-Cyclic AMP",Pyridoxal,Nicotinamide,NAD+,Glutathione,Glutathione disulfide,Cys-Gly,gamma-L-Glutamyl-D-alanine,gamma-Glutamyl-gamma-aminobutyrate,S-Adenosyl-L-homocysteine,Ornithine,Putrescine,Spermidine,Spermine,N-Glycoloyl-neuraminate,Homocarnosine,Creatine,Creatinine,Guanidinoacetate,Pantothenol,Pantetheine,Hypotaurine,L-Methionine S-oxide,5-Hydroxyindoleacetate,Indole,Indole-3-acetaldehyde,Indolepyruvate,6-Hydroxykynurenic acid,kynurenine,N-formyl kynurenine,Picolinic acid,2-Aminomuconate,8-Methoxykynurenate,L-Adrenaline,Ectoine,Ethanolamine phosphate,N-Methylethanolamine phosphate,Acetylcholine,Choline,acyl-C2 (acetyl-carnitine),acyl-C3 (propionyl-carnitine),acyl-C4 (butanoyl-l-carnitine),acyl-C4-DC,acyl-C5 (isovalerylcarnitine),acyl-C5-OH,acyl-C6 (hexanoyl-l-carnitine),acyl-C8 (L-octanoylcarnitine,acyl-C8:1 (octenoyl-l-carnitine),acyl-C10:1 (O-Decenoyl-L-carnitine),Tryptophan 13C11,Indole-Pyruvate 13C11,L-Formylkynurenine 13C11,Kynurenine 13C10
MA0-1,Growth condition:Attached | time (h):0 | treatment:none | Sample source:Breast cancer cells,6830986,2511757,209355.1,7449806,219048.1,14181840,19284010,2820082,2727932,68393240,1809147,20012320,28012290,9198369,2264009,9722377,18065400,33385800,12522550,23033.34,7646136,69238.63,387584.1,38875.61,692803,40309.96,27616.1,15144.98,1558.804,9247.591,68062.15,181867.9,119323.7,2010769,624752.6,108554500,10833050,1266743,348798.7,37400.89,74576.34,80131.27,18060.61,51919.88,49727.21,0,0,61123820,914282.9,64930.86,3945234,11549.12,386670.5,485767,765944,386031.4,48406.06,684634.9,3389.379,2422862,275631.8,943965.3,27998.13,0,40883.43,61550.86,308975.4,914505.2,1605650,21433870,4750652,1842895,5385721,228006.1,837436.2,103192.6,5949680,9798811,157935.1,214526.3,17180,1813,0,2245
MA0-2,Growth condition:Attached | time (h):0 | treatment:none | Sample source:Breast cancer cells,6930796,2333548,169459.9,6401056,187362,13437580,18081510,2815518,2640173,59592350,1617763,18717170,26401530,8505914,2138007,9502791,15543440,32231730,10506530,9626.51,4292892,68525.8,245826.8,41850.85,375089,44119.86,20752.33,12498.82,2002.817,6786.681,72072.7,197368.3,115745.8,1789872,605614,101309300,10940820,1236074,327227.6,31384.81,69622.66,84354.79,29311.68,111298.3,237768.2,0,0,58232400,1000297,55784.17,3680465,7882.97,346397.4,494227.6,702787,381697.5,64343.3,597342.4,6731.236,2223343,237737.4,866652.8,42092.07,0,44882.52,42243.98,321484.9,928243,1372922,22276210,4307962,2123816,5918788,185030.6,637408.4,106366.2,5882042,8518054,133348.6,205035.8,20855,1890,0,2520
MA0-3,Growth condition:Attached | time (h):0 | treatment:none | Sample source:Breast cancer cells,5235145,2345980,148430.7,5594612,194506.3,10938320,13457000,2046049,2112500,66813280,1385363,18981900,23880970,7603280,1557398,7438558,16180560,30879670,7664388,21155.17,7579794,66723.91,629242.1,88971.2,609678.4,25633.64,28340.14,16102.06,2008.628,24036.9,64985.58,158139.3,127485.9,1613302,492054.2,98649720,9633429,1185885,364552.9,32843.98,98583.35,95931.98,27343.37,68787.15,44788.61,2065.652,4042.523,48562610,756882.3,39116.73,3637732,9195.584,252407.9,591760.2,693773.9,376147.2,52145.07,584344.9,7265.642,2149493,233269.3,711470.9,35882.38,0,42471.95,35718.07,212175.7,670926.2,1418197,19301760,3915524,2371578,5558906,190708.3,828835.8,109231,5289064,9883069,132005.6,157085.1,23312,2011,0,4057
MS0-1,Growth condition:Suspension | time (h):0 | treatment:none | Sample source:Breast cancer cells,6272074,2797599,240403.3,6521866,162265.7,12914320,18652560,2565693,2803827,59703320,1587724,19727030,24652750,8168042,2180850,8880212,15849630,32879300,11074260,19297.35,9869673,60181.12,557825.2,65067.3,810895,47331.51,24013.67,18731.94,1633.601,40905.95,90835.12,184205.9,162980.5,1949542,632928.4,85530140,12560900,980371,317621.3,31484.61,99579.72,128085.3,27205.19,67889.85,82104.21,0,14078.78,53296980,844133.2,61842.59,3736438,10371.56,331094.8,592637,683525.7,288278,50029.61,753552.4,7849.088,2106355,249942.6,633203.4,38378.77,0,40284.76,48029.09,304802.7,898006.7,1215902,19804470,4367638,1842692,5975112,222999.4,691243.9,105627.8,6683928,10022770,114278.2,173352.9,15639,0,0,5310
MS0-2,Growth condition:Suspension | time (h):0 | treatment:none | Sample source:Breast cancer cells,6068494,2589443,161194.6,5054026,189023.6,10303030,14847640,2527771,2696909,66723280,1628077,23976370,30222330,8591201,1741986,7414146,16792710,40382600,10820550,16348.08,11283970,88374.03,912934.8,66642.58,706736.9,37053.2,17755.52,13698.05,0,25361.48,79098.71,204096.8,169141.3,2271054,769039.8,124954500,11650570,1463603,443381.8,34645.61,148379.3,83344.22,20726.82,54121.42,39769.25,0,1762.083,56526530,741607.7,49213.97,4918584,8613.104,301203,705147.6,750243.1,306076,58489.89,1011146,9884.919,2437189,283567.8,572160.4,34415.96,0,45259.99,51676.19,223452.2,786464.3,1708631,21264930,6201398,2139271,6457184,285801.8,960571.2,113847,7759972,11973140,145608.9,127386.5,18942,0,0,2228
MS0-3,Growth condition:Suspension | time (h):0 | treatment:none | Sample source:Breast cancer cells,4132669,2337829,133284.9,4439498,101616.5,8997425,12230320,1911440,1966641,57338790,1284672,17934570,26301790,7743874,1370410,6175998,13640050,29090690,8255810,23100.62,8628030,61973.39,459775.6,55853.31,654650.3,32274.31,35104.5,13526.76,2370.409,34546.26,83600.93,142576.5,168933.1,2009170,611346.1,76103460,15610800,919310.7,388458.1,37539.74,109045.2,72731.47,25599.37,57405.86,41545.6,0,18779.93,51738780,744115.4,34480.21,3687188,10664.15,208437.8,789828.6,612070.2,248344.6,44532.95,678518.1,3476.343,2357700,249424.6,596414,43611.6,0,37250.84,52597.79,202759.2,553236.5,1655190,16222940,4684728,1868874,5817618,204898,843894,116065.1,6126406,7830620,112569.3,149320.9,23565,1629,0,2130
MA48-1,Growth condition:Attached | time (h):48 | treatment:none | Sample source:Breast cancer cells,584418.6,1000440,90903.75,680259.9,21875.99,5350081,4389204,1398874,627059.4,12574350,404563.8,2769312,4627036,2634168,576891.2,1794015,3433075,6281230,3285522,105581.1,7509102,21446.07,284435.3,54156.04,555836.2,44937.06,27004.53,19402.2,10717.95,68569.69,72367.38,170925.8,108357.9,1658447,371205.6,25844840,10091620,295576.8,37570.1,6321.774,59697.42,98296.84,102165.2,56730.75,102492.2,0,24470.01,7182067,113083.8,33675.18,3665221,6322.391,75696.48,284422.2,29435.41,93484.09,17210.68,109886.5,0,106034.3,14996.57,346255.8,27452.88,0,41961.53,43133.96,554392,289344.3,122365.6,38465230,177458.9,89486.41,163454.5,9863.288,71692.67,20469.08,228450.6,140548.8,17150.25,2868.722,462572,0,0,162260
MA48-2,Growth condition:Attached | time (h):48 | treatment:none | Sample source:Breast cancer cells,625718.4,676237.3,99815.57,744030.8,6967.643,5873086,4141571,1236093,501126.5,13253770,413197.6,3284103,6859742,3380746,491472.8,1832709,5026240,8115102,3745223,149704,9750197,24627.91,1096140,103974.1,971214.8,45143.32,39921.42,20566.55,18232.56,95906.4,45935.83,221495.3,141003.9,1946720,434166.6,35207480,14951230,419789.5,36677.48,3447.255,91364.98,109173.6,316475.4,549904.6,695177.3,0,41019.08,8812639,138089,40857.9,5901852,7457.588,55847.29,488931.6,47712.03,91662.71,12808.36,162313.6,1640.749,151060.1,18157.73,502423.8,43838.82,0,66535.54,35739.92,475210.4,361192.1,142080.8,51299520,358817,133346.4,221398,10396.23,83529.99,36795.11,225401.5,179220.6,24836.26,7644.458,664638,2329,1145,188815
MA48-3,Growth condition:Attached | time (h):48 | treatment:none | Sample source:Breast cancer cells,314811.5,517183.7,30975.84,351464.4,1632.864,2909326,2211944,880528,340661.8,7005452,283116.7,1133387,2858597,1449814,249132.9,769902,2210486,3467489,2232514,86754.08,6112586,9377.509,184050.4,32377.31,381730.9,22625.21,7317.391,10433.83,8428.63,34987.8,39421.16,99359.98,101209.6,1385060,315530.5,11052460,8717580,131470.6,25581.8,3059.758,45284.92,43800.2,129358.9,48459.57,52336.93,0,9900.468,5496786,73396.63,11709.71,2354790,2875.55,25140.76,248042.4,19078.43,35063.6,10255.93,74005.78,1107.214,52505.64,9673.517,211546.4,16207.05,1874.368,25973.54,32468.51,310646.4,283127.8,109725.3,32168590,174323.5,64621.14,103831.3,9733.435,47293.16,13135.55,177380.7,86102.36,8407.11,4699.563,308400,1821,0,75003
MS48-1,Growth condition:Suspension | time (h):48 | treatment:none | Sample source:Breast cancer cells,302804.5,498718.8,59570.59,453831,9393.519,3253988,3653150,1163902,452467.8,5297879,131812,700955,2280151,1633461,289237.8,812868.2,227877.9,2437724,2500310,63130.54,4026473,4897.476,211546.4,39990.25,305342.9,42700.8,17621.97,14280.36,14572.98,85143.45,50391.67,222781.8,53125.82,1498309,252909.5,9302761,6159908,120256.1,21136.53,1709.108,32409.89,62378.66,38269.63,40897.08,32398.1,0,20695.62,3922253,52522.58,28458.39,2168518,1451.642,24558.09,183705.8,1112.32,62015.64,1717.697,36211.72,1035.02,9656.474,0,244448.1,17132.79,0,28093.44,32123.68,403532.8,218096.8,111088.2,26379590,121319.5,48641.31,75531.28,13037.3,57223.17,17841.21,115830.8,75118.12,20171.44,3043.372,4038084,918,7040,232193
MS48-2,Growth condition:Suspension | time (h):48 | treatment:none | Sample source:Breast cancer cells,325428.5,451169.8,55901.7,334087.1,928.2308,2731638,3172308,939265.8,365116.5,5031560,132639.5,780259.2,1774439,1527797,272928.5,699399.2,220894,2430080,2171806,61659,5909996,1270.61,323576.2,49826.21,446665.2,41686.89,14857.03,14808.64,12220.79,82915.09,44529.82,177315,60341.36,2041224,232649.1,1035087,8280114,27970.32,27757.79,1315.88,50419.57,56722.57,57966.47,42787.47,19713.23,0,187181.2,4063525,62751.36,15793.86,2084206,0,18600.11,256113.8,1208.201,45910.78,800.2359,35823.57,0,6115.294,1073.861,145686.1,14927.28,2186.568,21251.87,33251.39,318999.8,337150.3,108625.9,23536420,119788.2,38157.33,74120.77,11222.25,57214.44,13889.42,113443.1,75926.41,20541.94,2297.525,3192116,0,6926,122971
